lat,lon,name,category
55.7530435,37.7011605,Многофункциональный центр предоставления государственных и муниципальных услуг района Лефортово,Офис
55.782525,37.707396,Многофункциональный центр предоставления государственных и муниципальных услуг района Соколиная Гора,Офис
55.7952518,37.6082295,Vita Group,Офис
55.7529806,37.701519,Многофункциональный центр предоставления государственных и муниципальных услуг района Нижегородский,Офис
55.7356188,37.6357204,Многофункциональный центр предоставления государственных и муниципальных услуг района Замоскворечье,Офис
55.7971422,37.5183491,Многофункциональный центр предоставления государственных и муниципальных услуг района Сокол,Офис
55.7013656,37.5671675,Гагаринский отдел ЗАГС,Офис
55.7445112,37.5482784,Кутузовский отдел ЗАГС,Офис
55.7389276,37.6702083,Таганский отдел ЗАГС,Офис
55.7752297,37.5912254,Тверской отдел ЗАГС,Офис
55.7400467,37.5739579,Хамовнический отдел ЗАГС,Офис
55.741189,37.6365747,Замоскворецкий отдел ЗАГС,Офис
55.7658603,37.6449401,Объединенный архив ЗАГС,Офис
55.74907,37.5822812,Пестрецова Т. А.,Офис
55.74626,37.6823863,Анкор,Офис
55.7736922,37.5771382,Визаход,Офис
55.6941885,37.5910391,ИнфраМенеджер,Офис
55.7746099,37.6291595,Ветеран,Офис
55.7730511,37.7063033,Без названия,Офис
55.7094564,37.6248285,Московская академическая коллегия адвокатов,Офис
55.7396482,37.5296504,"ОАО ""Концерн радиостроения ""Вега""",Офис
55.7604158,37.6440871,Миграционная Служба МВД РФ,Офис
55.761804,37.649313,Московская театральная школа Олега Табакова,Университет
55.7147553,37.6090664,"Государственное автономное профессиональное образовательное учреждение города Москвы ""Московский образовательный комплекс имени Виктора Талалихина""",Университет
55.712912,37.6130602,Многофункциональный центр предоставления государственных и муниципальных услуг района Даниловский,Офис
55.7420284,37.6185801,Визовый центр Италии,Офис
55.7307233,37.5763435,Avon,Офис
55.8061604,37.5826094,Управление социальной защиты населения,Офис
55.7051856,37.585935,Математический факультет НИУ ВШЭ,Университет
55.762379,37.6186053,Дипломатическая миссия Суверенного Мальтийского Ордена в Российской Федерации,Офис
55.7390335,37.5155871,Ассоциация активной помощи престарелым и детям,Офис
55.7255963,37.5850882,"ООО ""Интикома""",Офис
55.7495238,37.7262746,Юго-Восточное ТБТИ,Офис
55.7511978,37.733431,Клава,Офис
55.764702,37.634318,Центр перевода,Офис
55.7644232,37.6325237,Департамент спорта города Москвы,Офис
55.7539675,37.7145025,Сигни Груп,Офис
55.7956305,37.6556843,Желдорэкспедиция,Офис
55.7495836,37.5456896,Конгресс-центр,Офис
55.7495849,37.5452405,Экспо Сервис,Офис
55.7687794,37.6456223,Серёгин и партнёры,Офис
55.7227251,37.5649325,Налоговая инспекция №4,Офис
55.7862121,37.5956126,Без названия,Офис
55.786261,37.5954577,Без названия,Офис
55.7970576,37.5139903,Архитектурное бюро КС,Офис
55.7429908,37.5846651,Многофункциональный центр предоставления государственных и муниципальных услуг района Хамовники,Офис
55.7015538,37.5777256,Green Home,Офис
55.7452437,37.6621316,Европейская Медиагруппа,Офис
55.7466037,37.5852752,Научно-исследовательский центр информатизации Министерства иностранных дел Российской Федерации,Офис
55.7393321,37.5275574,Поморское землячество в Москве,Офис
55.7951426,37.5833022,Инженерная служба,Офис
55.7475749,37.593536,Многофункциональный центр предоставления государственных и муниципальных услуг района Арбат,Офис
55.7428628,37.6594985,ФБУЗ Центр гигиены и эпидемиологии в городе Москве,Офис
55.7422193,37.6573168,Постоянное представительство Кабардино-Балканской республики при президенте Российской Федерации,Офис
55.7495507,37.6585411,Школа № 2104,Школа
55.7618049,37.6220983,Федеральная служба судебных приставов России,Офис
55.7293782,37.5708461,Филипповская Школа,Школа
55.7502749,37.5799994,ЖЭК-1,Офис
55.7502706,37.5801272,Инженерная служба района Арбат,Офис
55.752111,37.5821803,Нотариус,Офис
55.7466632,37.5767379,Совет ветеранов,Офис
55.7297773,37.6473746,Отделение Пенсионного фонда РФ (Управление № 1),Офис
55.7306493,37.6478021,Отделение Пенсионного фонда РФ (Управление № 2),Офис
55.7303441,37.6475823,Отделение Пенсионного фонда РФ (Управление № 3),Офис
55.7502203,37.5904611,Совет ветеранов района Арбат,Офис
55.7516303,37.592373,Технопромэкспорт,Офис
